Date,Open,High,Low,Close,Adj Close,Volume
2020-07-23,24.520000,24.639999,24.110001,24.540001,23.998566,61047600
2020-07-24,24.559999,24.830000,24.270000,24.350000,23.812756,50217600
2020-07-27,24.219999,24.270000,23.879999,24.139999,23.607388,54721300
2020-07-28,24.129999,24.559999,24.080000,24.360001,23.822536,48406500
2020-07-29,24.360001,25.290001,24.190001,25.270000,24.712460,71393500
2020-07-30,24.719999,24.950001,24.350000,24.840000,24.291946,61755900
2020-07-31,24.930000,24.950001,24.459999,24.879999,24.331064,61955800
2020-08-03,25.030001,25.309999,24.690001,24.990000,24.438637,58284000
2020-08-04,24.959999,25.059999,24.860001,25.010000,24.458197,37985300
2020-08-05,25.320000,25.590000,25.250000,25.389999,24.829809,51322600
2020-08-06,25.450001,25.670000,25.280001,25.469999,24.908045,51999700
2020-08-07,25.340000,26.190001,25.260000,26.110001,25.533924,63354500
2020-08-10,26.309999,26.809999,26.209999,26.559999,25.973995,64051100
2020-08-11,27.280001,27.750000,26.780001,26.920000,26.326056,81441000
2020-08-12,27.480000,27.570000,26.410000,26.730000,26.140245,61971300
2020-08-13,26.490000,26.670000,26.139999,26.350000,25.768629,55955500
2020-08-14,26.059999,26.660000,25.920000,26.469999,25.885983,50931900
2020-08-17,26.309999,26.410000,25.840000,25.900000,25.328556,57518700
2020-08-18,25.870001,25.990000,25.459999,25.530001,24.966722,45850100
2020-08-19,25.660000,26.080000,25.389999,25.500000,24.937384,59856000
2020-08-20,25.160000,25.330000,25.020000,25.100000,24.546207,49403700
2020-08-21,24.980000,25.430000,24.900000,24.980000,24.428856,55010700
2020-08-24,25.219999,25.700001,25.040001,25.690001,25.123194,54579500
2020-08-25,26.040001,26.190001,25.730000,26.000000,25.426352,57304700
2020-08-26,25.940001,25.940001,25.540001,25.559999,24.996059,39478000
2020-08-27,25.490000,26.219999,25.440001,26.049999,25.475248,52934800
2020-08-28,26.400000,26.469999,25.990000,26.299999,25.719732,46466400
2020-08-31,26.090000,26.139999,25.690001,25.740000,25.172087,49416200
2020-09-01,25.580000,25.900000,25.400000,25.709999,25.142748,46109200
2020-09-02,25.530001,26.160000,25.490000,26.020000,25.445911,57300900
2020-09-03,26.200001,26.620001,25.459999,25.660000,25.268656,86192500
